"","GOMFID","Pvalue","OddsRatio","ExpCount","Count","Size","Term"
"1","GO:0046559",0.000413808667832318,Inf,0.57109906585169,4,4,"alpha-glucuronidase activity"
"2","GO:0030170",0.000823167351521211,2.15411653938697,15.2769000115327,28,107,"pyridoxal phosphate binding"
"3","GO:0016868",0.00104923556282653,9.0450487012987,1.42774766462922,6,10,"intramolecular transferase activity, phosphotransferases"
"4","GO:0008443",0.00226289560668337,10.0432549337659,1.14219813170338,5,8,"phosphofructokinase activity"
"5","GO:0003861",0.00290436723301258,Inf,0.428324299388767,3,3,"3-isopropylmalate dehydratase activity"
"6","GO:0016814",0.00294446671496436,4.38847006651885,2.71272056279553,8,19,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines"
"7","GO:0016866",0.00296096236685105,3.88068115773567,3.28381962864721,9,23,"intramolecular transferase activity"
"8","GO:0015103",0.00309187698107296,3.02161500815661,5.13989159266521,12,36,"inorganic anion transmembrane transporter activity"
"9","GO:0043565",0.00433205627986905,2.02030178326475,13.1352785145889,23,92,"sequence-specific DNA binding"
"10","GO:0004556",0.00487693292890846,12.0437601296596,0.856648598777534,4,6,"alpha-amylase activity"
"11","GO:0016160",0.00487693292890846,12.0437601296596,0.856648598777534,4,6,"amylase activity"
"12","GO:0019238",0.00794036750561554,6.02433090024331,1.42774766462922,5,10,"cyclohydrolase activity"
"13","GO:0003935",0.0103760429285533,18.0534412955466,0.57109906585169,3,4,"GTP cyclohydrolase II activity"
"14","GO:0004451",0.0103760429285533,18.0534412955466,0.57109906585169,3,4,"isocitrate lyase activity"
"15","GO:0004489",0.0103760429285533,18.0534412955466,0.57109906585169,3,4,"methylenetetrahydrofolate reductase (NAD(P)H) activity"
"16","GO:0003899",0.0140392618285215,2.10785525490122,8.2809364548495,15,58,"DNA-directed RNA polymerase activity"
"17","GO:0019200",0.0186475516165553,3.6150974025974,2.28439626340676,6,16,"carbohydrate kinase activity"
"18","GO:0003937",0.0203705174296003,Inf,0.285549532925845,2,2,"IMP cyclohydrolase activity"
"19","GO:0004349",0.0203705174296003,Inf,0.285549532925845,2,2,"glutamate 5-kinase activity"
"20","GO:0004333",0.0203705174296003,Inf,0.285549532925845,2,2,"fumarate hydratase activity"
"21","GO:0010484",0.0203705174296003,Inf,0.285549532925845,2,2,"H3 histone acetyltransferase activity"
"22","GO:0003868",0.0203705174296003,Inf,0.285549532925845,2,2,"4-hydroxyphenylpyruvate dioxygenase activity"
"23","GO:0003872",0.0203705174296003,Inf,0.285549532925845,2,2,"6-phosphofructokinase activity"
"24","GO:0003876",0.0203705174296003,Inf,0.285549532925845,2,2,"AMP deaminase activity"
"25","GO:0008430",0.0203705174296003,Inf,0.285549532925845,2,2,"selenium binding"
"26","GO:0004506",0.0203705174296003,Inf,0.285549532925845,2,2,"squalene monooxygenase activity"
"27","GO:0003839",0.0203705174296003,Inf,0.285549532925845,2,2,"gamma-glutamylcyclotransferase activity"
"28","GO:0004418",0.0203705174296003,Inf,0.285549532925845,2,2,"hydroxymethylbilane synthase activity"
"29","GO:0004619",0.0203705174296003,Inf,0.285549532925845,2,2,"phosphoglycerate mutase activity"
"30","GO:0004643",0.0203705174296003,Inf,0.285549532925845,2,2,"phosphoribosylaminoimidazolecarboxamide formyltransferase activity"
"31","GO:0004121",0.0203705174296003,Inf,0.285549532925845,2,2,"cystathionine beta-lyase activity"
"32","GO:0004122",0.0203705174296003,Inf,0.285549532925845,2,2,"cystathionine beta-synthase activity"
"33","GO:0047623",0.0203705174296003,Inf,0.285549532925845,2,2,"adenosine-phosphate deaminase activity"
"34","GO:0052736",0.0203705174296003,Inf,0.285549532925845,2,2,"beta-glucanase activity"
"35","GO:0004044",0.0203705174296003,Inf,0.285549532925845,2,2,"amidophosphoribosyltransferase activity"
"36","GO:0030955",0.0203705174296003,Inf,0.285549532925845,2,2,"potassium ion binding"
"37","GO:0031420",0.0203705174296003,Inf,0.285549532925845,2,2,"alkali metal ion binding"
"38","GO:0000298",0.0203705174296003,Inf,0.285549532925845,2,2,"endopolyphosphatase activity"
"39","GO:0052861",0.0203705174296003,Inf,0.285549532925845,2,2,"glucan endo-1,3-beta-glucanase activity, C-3 substituted reducing group"
"40","GO:0052862",0.0203705174296003,Inf,0.285549532925845,2,2,"glucan endo-1,4-beta-glucanase activity, C-3 substituted reducing group"
"41","GO:0000014",0.0203705174296003,Inf,0.285549532925845,2,2,"single-stranded DNA endodeoxyribonuclease activity"
"42","GO:0016208",0.0203705174296003,Inf,0.285549532925845,2,2,"AMP binding"
"43","GO:0004743",0.0203705174296003,Inf,0.285549532925845,2,2,"pyruvate kinase activity"
"44","GO:0015105",0.0203705174296003,Inf,0.285549532925845,2,2,"arsenite transmembrane transporter activity"
"45","GO:0050113",0.0203705174296003,Inf,0.285549532925845,2,2,"inositol oxygenase activity"
"46","GO:0001671",0.0203705174296003,Inf,0.285549532925845,2,2,"ATPase activator activity"
"47","GO:0003991",0.0203705174296003,Inf,0.285549532925845,2,2,"acetylglutamate kinase activity"
"48","GO:0004392",0.0203705174296003,Inf,0.285549532925845,2,2,"heme oxygenase (decyclizing) activity"
"49","GO:0003987",0.0203705174296003,Inf,0.285549532925845,2,2,"acetate-CoA ligase activity"
"50","GO:0004367",0.0203705174296003,Inf,0.285549532925845,2,2,"glycerol-3-phosphate dehydrogenase [NAD+] activity"
"51","GO:0004352",0.0203705174296003,Inf,0.285549532925845,2,2,"glutamate dehydrogenase (NAD+) activity"
"52","GO:0016772",0.0222378100072796,1.27684615733325,80.0966439856995,97,561,"transferase activity, transferring phosphorus-containing groups"
"53","GO:0004491",0.0231900486443163,9.02550607287449,0.713873832314612,3,5,"methylmalonate-semialdehyde dehydrogenase (acylating) activity"
"54","GO:0034062",0.0254045540378735,1.92741949513752,8.85203552070119,15,62,"RNA polymerase activity"
"55","GO:1901363",0.0266065712690759,1.13730429782127,386.205743282205,416,2705,"heterocyclic compound binding"
"56","GO:0097159",0.0266065712690759,1.13730429782127,386.205743282205,416,2705,"organic cyclic compound binding"
"57","GO:0004096",0.0280414327704969,3.76368613138686,1.85607196401799,5,13,"catalase activity"
"58","GO:0016799",0.0286807759622754,4.81555915721232,1.2849728981663,4,9,"hydrolase activity, hydrolyzing N-glycosyl compounds"
"59","GO:0003677",0.0305096872635721,1.23981110819713,92.2324991350479,109,646,"DNA binding"
"60","GO:0003933",0.0415031643597242,6.01619433198381,0.856648598777534,3,6,"GTP cyclohydrolase activity"
"61","GO:0003873",0.0415031643597242,6.01619433198381,0.856648598777534,3,6,"6-phosphofructo-2-kinase activity"
