"","GOBPID","Pvalue","OddsRatio","ExpCount","Count","Size","Term"
"1","GO:0006661",1.02475234643764e-05,6.15055706112617,4.18223561486583,14,26,"phosphatidylinositol biosynthetic process"
"2","GO:0046474",5.10563911103716e-05,4.91791629027401,4.66480126273497,14,29,"glycerophospholipid biosynthetic process"
"3","GO:0045017",5.10563911103716e-05,4.91791629027401,4.66480126273497,14,29,"glycerolipid biosynthetic process"
"4","GO:0046488",0.000106518236799712,3.34367816091954,7.88190558186253,19,49,"phosphatidylinositol metabolic process"
"5","GO:0006506",0.000115616887476749,5.26239855725879,3.86052518295308,12,24,"GPI anchor biosynthetic process"
"6","GO:0009247",0.000115616887476749,5.26239855725879,3.86052518295308,12,24,"glycolipid biosynthetic process"
"7","GO:0044237",0.000123603619154887,1.27419205948255,477.739991390443,534,2970,"cellular metabolic process"
"8","GO:0007017",0.000149134732780355,2.99830466830467,9.32960252546994,21,58,"microtubule-based process"
"9","GO:0044260",0.000211744777763785,1.28351683990335,327.822930119099,378,2038,"cellular macromolecule metabolic process"
"10","GO:1902600",0.00026426568672187,3.16482320942883,7.72105036590616,18,48,"hydrogen ion transmembrane transport"
"11","GO:0046486",0.000266303474433929,3.03814002089864,8.36447122973167,19,52,"glycerolipid metabolic process"
"12","GO:0006650",0.000266303474433929,3.03814002089864,8.36447122973167,19,52,"glycerophospholipid metabolic process"
"13","GO:0006497",0.000301682228608653,4.50908154064151,4.18223561486583,12,26,"protein lipidation"
"14","GO:0042158",0.000301682228608653,4.50908154064151,4.18223561486583,12,26,"lipoprotein biosynthetic process"
"15","GO:0008654",0.000346070358959495,2.85293467854776,9.16874730951356,20,57,"phospholipid biosynthetic process"
"16","GO:0043170",0.000404333339675348,1.26063063063063,364.015353709284,413,2263,"macromolecule metabolic process"
"17","GO:0006505",0.000464304049965589,4.20775473399459,4.34309083082221,12,27,"GPI anchor metabolic process"
"18","GO:1903509",0.000464304049965589,4.20775473399459,4.34309083082221,12,27,"liposaccharide metabolic process"
"19","GO:0006664",0.000464304049965589,4.20775473399459,4.34309083082221,12,27,"glycolipid metabolic process"
"20","GO:0046854",0.000496311522234387,9.18043087971275,1.76940737552016,7,11,"phosphatidylinositol phosphorylation"
"21","GO:0046834",0.000496311522234387,9.18043087971275,1.76940737552016,7,11,"lipid phosphorylation"
"22","GO:0098660",0.000518795973485877,2.40253815527538,12.8684172765103,25,80,"inorganic ion transmembrane transport"
"23","GO:0098662",0.000518795973485877,2.40253815527538,12.8684172765103,25,80,"inorganic cation transmembrane transport"
"24","GO:0098655",0.000518795973485877,2.40253815527538,12.8684172765103,25,80,"cation transmembrane transport"
"25","GO:0048015",0.000555670683182773,26.1962365591398,0.96513129573827,5,6,"phosphatidylinositol-mediated signaling"
"26","GO:0019637",0.000583392759880324,1.64700358772202,45.0394604677859,66,280,"organophosphate metabolic process"
"27","GO:0006397",0.000607014770731573,2.47903423664548,11.5815755488592,23,72,"mRNA processing"
"28","GO:0006643",0.00062157011203682,3.29113924050633,6.27335342229875,15,39,"membrane lipid metabolic process"
"29","GO:0006818",0.000623918858953258,2.87562845133108,8.20361601377529,18,51,"hydrogen transport"
"30","GO:0015992",0.000623918858953258,2.87562845133108,8.20361601377529,18,51,"proton transport"
"31","GO:0006644",0.000647947521780556,2.26625750848786,14.476969436074,27,90,"phospholipid metabolic process"
"32","GO:0090407",0.000648361358846085,1.82467198889275,28.9539388721481,46,180,"organophosphate biosynthetic process"
"33","GO:0016125",0.000666480792951028,Inf,0.643420863825513,4,4,"sterol metabolic process"
"34","GO:0046467",0.000694888475089158,3.94409377817854,4.50394604677859,12,28,"membrane lipid biosynthetic process"
"35","GO:0042157",0.000694888475089158,3.94409377817854,4.50394604677859,12,28,"lipoprotein metabolic process"
"36","GO:0007018",0.000888523863578091,4.12960102960103,4.02138039890946,11,25,"microtubule-based movement"
"37","GO:0015672",0.000931016218207767,2.38099574984821,11.903285980772,23,74,"monovalent inorganic cation transport"
"38","GO:0006928",0.00131887439588901,3.85363363363363,4.18223561486583,11,26,"movement of cell or subcellular component"
"39","GO:0009057",0.00154002903608794,1.76839826839827,27.6670971444971,43,172,"macromolecule catabolic process"
"40","GO:0048017",0.00168623754003528,13.0958781362007,1.12598651169465,5,7,"inositol lipid-mediated signaling"
"41","GO:0006807",0.00194767066214648,1.23716931216931,289.378533505524,329,1799,"nitrogen compound metabolic process"
"42","GO:0030163",0.00203610263013974,1.89765824808184,20.1069019945473,33,125,"protein catabolic process"
"43","GO:0015991",0.00276522450605275,3.15311091073039,5.1473669106041,12,32,"ATP hydrolysis coupled proton transport"
"44","GO:0015988",0.00276522450605275,3.15311091073039,5.1473669106041,12,32,"energy coupled proton transmembrane transport, against electrochemical gradient"
"45","GO:0016071",0.00293275485301629,2.12815965231841,12.8684172765103,23,80,"mRNA metabolic process"
"46","GO:0000226",0.00357831152907498,3.5001500150015,4.02138039890946,10,25,"microtubule cytoskeleton organization"
"47","GO:0034453",0.00380231240967131,6.28843049327354,1.76940737552016,6,11,"microtubule anchoring"
"48","GO:0008608",0.00380231240967131,6.28843049327354,1.76940737552016,6,11,"attachment of spindle microtubules to kinetochore"
"49","GO:0006812",0.00431700659458633,1.65046651071496,29.1147940881045,43,181,"cation transport"
"50","GO:0006289",0.00502821210403313,3.0402560455192,4.82565647869135,11,30,"nucleotide-excision repair"
"51","GO:0044249",0.00502926105188119,1.22065177370513,250.290716028125,284,1556,"cellular biosynthetic process"
"52","GO:0046483",0.00789698389342088,1.20906324367203,240.800258286698,272,1497,"heterocycle metabolic process"
"53","GO:0033036",0.00875164110984376,1.46261682242991,43.9134739560913,59,273,"macromolecule localization"
"54","GO:0070727",0.00933429707255252,1.52177285689571,34.5838714306213,48,215,"cellular macromolecule localization"
"55","GO:0034613",0.00933429707255252,1.52177285689571,34.5838714306213,48,215,"cellular protein localization"
"56","GO:0010467",0.00962796419960885,1.2316464009234,172.275936289281,199,1071,"gene expression"
"57","GO:1901360",0.00984733834173078,1.19926039333116,248.521308652604,279,1545,"organic cyclic compound metabolic process"
"58","GO:0006793",0.011131582026047,1.29669643414726,95.5479982780887,116,594,"phosphorus metabolic process"
"59","GO:0006790",0.0120422995121241,1.80586013803881,15.1203902998996,24,94,"sulfur compound metabolic process"
"60","GO:1901576",0.0121193755735779,1.19030163385002,255.277227722772,285,1587,"organic substance biosynthetic process"
"61","GO:0044267",0.0133240062791249,1.22919225690292,154.742717750036,179,962,"cellular protein metabolic process"
"62","GO:0044265",0.0134326426237158,1.6652033383183,20.1069019945473,30,125,"cellular macromolecule catabolic process"
"63","GO:0034645",0.0135582692604393,1.21827053543471,171.793370641412,197,1068,"cellular macromolecule biosynthetic process"
"64","GO:0034641",0.0141885467740356,1.18752522528299,245.465059549433,274,1526,"cellular nitrogen compound metabolic process"
"65","GO:0032259",0.0143367386066441,2.13002785787596,8.36447122973167,15,52,"methylation"
"66","GO:0006265",0.0154925809945617,6.97702178454193,1.12598651169465,4,7,"DNA topological change"
"67","GO:0008104",0.0156983715380688,1.42745465916198,41.661500932702,55,259,"protein localization"
"68","GO:0009058",0.0157182037655061,1.17791141058213,269.110776295021,298,1673,"biosynthetic process"
"69","GO:0006259",0.0159164147540823,1.40790790790791,45.2003156837423,59,281,"DNA metabolic process"
"70","GO:0006796",0.0159327041088841,1.27978507397297,93.9394461185249,113,584,"phosphate-containing compound metabolic process"
"71","GO:0006396",0.017222103845812,1.57326619215933,23.806571961544,34,148,"RNA processing"
"72","GO:0000398",0.0178610259063003,2.4048048048048,5.62993255847324,11,35,"mRNA splicing, via spliceosome"
"73","GO:0000375",0.0178610259063003,2.4048048048048,5.62993255847324,11,35,"RNA splicing, via transesterification reactions"
"74","GO:0000377",0.0178610259063003,2.4048048048048,5.62993255847324,11,35,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile"
"75","GO:0009059",0.0196634425768094,1.20202224941158,173.401922800976,197,1078,"macromolecule biosynthetic process"
"76","GO:0043414",0.0199095443949835,2.24913049078964,6.43420863825513,12,40,"macromolecule methylation"
"77","GO:0019538",0.0204688709351624,1.19449156770781,185.948629645573,210,1156,"protein metabolic process"
"78","GO:0031123",0.0211114192065296,4.36230585424134,1.76940737552016,5,11,"RNA 3'-end processing"
"79","GO:0006725",0.0227955286965146,1.1716743638504,240.156837422873,266,1493,"cellular aromatic compound metabolic process"
"80","GO:0032507",0.0232859354186264,3.05595451825254,3.05624910317119,7,19,"maintenance of protein location in cell"
"81","GO:0045185",0.0232859354186264,3.05595451825254,3.05624910317119,7,19,"maintenance of protein location"
"82","GO:0051235",0.0232859354186264,3.05595451825254,3.05624910317119,7,19,"maintenance of location"
"83","GO:0051651",0.0232859354186264,3.05595451825254,3.05624910317119,7,19,"maintenance of location in cell"
"84","GO:0033365",0.0238661164324484,1.96925858951175,8.8470368776008,15,55,"protein localization to organelle"
"85","GO:0051603",0.0248876807855021,1.64461678832117,16.8897976754197,25,105,"proteolysis involved in cellular protein catabolic process"
"86","GO:0044257",0.0248876807855021,1.64461678832117,16.8897976754197,25,105,"cellular protein catabolic process"
"87","GO:0007010",0.0251574746241244,1.86065821256039,10.4555890371646,17,65,"cytoskeleton organization"
"88","GO:0000737",0.0258550289711745,Inf,0.321710431912757,2,2,"DNA catabolic process, endonucleolytic"
"89","GO:0008535",0.0258550289711745,Inf,0.321710431912757,2,2,"respiratory chain complex IV assembly"
"90","GO:0007029",0.0258550289711745,Inf,0.321710431912757,2,2,"endoplasmic reticulum organization"
"91","GO:0055070",0.0258550289711745,Inf,0.321710431912757,2,2,"copper ion homeostasis"
"92","GO:0055076",0.0258550289711745,Inf,0.321710431912757,2,2,"transition metal ion homeostasis"
"93","GO:0006878",0.0258550289711745,Inf,0.321710431912757,2,2,"cellular copper ion homeostasis"
"94","GO:0046416",0.0258550289711745,Inf,0.321710431912757,2,2,"D-amino acid metabolic process"
"95","GO:0006571",0.0258550289711745,Inf,0.321710431912757,2,2,"tyrosine biosynthetic process"
"96","GO:0046916",0.0258550289711745,Inf,0.321710431912757,2,2,"cellular transition metal ion homeostasis"
"97","GO:0071816",0.0258550289711745,Inf,0.321710431912757,2,2,"tail-anchored membrane protein insertion into ER membrane"
"98","GO:0015706",0.0258550289711745,Inf,0.321710431912757,2,2,"nitrate transport"
"99","GO:0015707",0.0258550289711745,Inf,0.321710431912757,2,2,"nitrite transport"
"100","GO:0019478",0.0258550289711745,Inf,0.321710431912757,2,2,"D-amino acid catabolic process"
"101","GO:0046835",0.0258550289711745,Inf,0.321710431912757,2,2,"carbohydrate phosphorylation"
