"","GOCCID","Pvalue","OddsRatio","ExpCount","Count","Size","Term"
"1","GO:0032991",0.00204854816945626,0.338478500551268,16.8073555166375,7,914,"macromolecular complex"
"2","GO:0005623",0.00297221756441181,0.479482984735611,37.2373029772329,26,2025,"cell"
"3","GO:0044464",0.00297221756441181,0.479482984735611,37.2373029772329,26,2025,"cell part"
"4","GO:0030529",0.00325688485337537,0,5.4246935201401,0,295,"ribonucleoprotein complex"
"5","GO:0044424",0.00362769639717577,0.483415435139573,34.0192644483363,23,1850,"intracellular part"
"6","GO:0043226",0.0037692402059134,0.452374454148472,25.5420315236427,15,1389,"organelle"
"7","GO:0043229",0.0037692402059134,0.452374454148472,25.5420315236427,15,1389,"intracellular organelle"
"8","GO:0005622",0.00526089987576403,0.503621538843591,36.5017513134851,26,1985,"intracellular"
"9","GO:0044428",0.0138365263865785,0,4.10070052539405,0,223,"nuclear part"
"10","GO:0005840",0.0149799050072506,0,4.02714535901926,0,219,"ribosome"
"11","GO:0044446",0.02388077842956,0.399410847340149,11.0700525394046,5,602,"intracellular organelle part"
"12","GO:0044422",0.02388077842956,0.399410847340149,11.0700525394046,5,602,"organelle part"
"13","GO:0043227",0.0245304839429328,0.52192513368984,19.4369527145359,12,1057,"membrane-bounded organelle"
"14","GO:0043231",0.0245304839429328,0.52192513368984,19.4369527145359,12,1057,"intracellular membrane-bounded organelle"
"15","GO:0044444",0.0437625072717658,0.468480764309477,11.4562171628722,6,623,"cytoplasmic part"
"16","GO:0012505",0.049664350358626,0,2.90542907180385,0,158,"endomembrane system"
