"","GOMFID","Pvalue","OddsRatio","ExpCount","Count","Size","Term"
"1","GO:0005198",0.00290287965168037,0.120948148148148,7.83200921128382,1,251,"structural molecule activity"
"2","GO:0016829",0.00460612054572523,0.129471351693574,7.33275762809442,1,235,"lyase activity"
"3","GO:0003735",0.00770010619901541,0.14056927297668,6.77109959700633,1,217,"structural constituent of ribosome"
"4","GO:0017111",0.0182344805534698,0.364694733992148,10.4842832469775,4,336,"nucleoside-triphosphatase activity"
"5","GO:0016818",0.0182344805534698,0.364694733992148,10.4842832469775,4,336,"hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides"
"6","GO:0016817",0.0182344805534698,0.364694733992148,10.4842832469775,4,336,"hydrolase activity, acting on acid anhydrides"
"7","GO:0016462",0.0182344805534698,0.364694733992148,10.4842832469775,4,336,"pyrophosphatase activity"
"8","GO:0003924",0.0216927371761295,0,3.74438687392055,0,120,"GTPase activity"
"9","GO:0005215",0.0315732302673942,0.560022126773396,18.7843408175014,11,602,"transporter activity"
"10","GO:0022857",0.0451648093864759,0.584412242686891,18.0666666666667,11,579,"transmembrane transporter activity"
"11","GO:0005515",0.0488897424657308,0.310116430471949,6.20944156591825,2,199,"protein binding"
